,Name,Speaker,Irony,parseltonguef0,reaperf0
0,PPep12_p105_I,P,i,241.00202084341257,NaN
1,PPep12_p105_I,P,i,242.7958345061235,NaN
2,PPep12_p105_I,P,i,244.68855768761813,NaN
3,PPep12_p105_I,P,i,246.60810962158246,NaN
4,PPep12_p105_I,P,i,248.41886004514754,NaN
5,PPep12_p105_I,P,i,249.92374191258256,NaN
6,PPep12_p105_I,P,i,251.06291955207257,222.72728
7,PPep12_p105_I,P,i,251.86530560319022,225.0
8,PPep12_p105_I,P,i,252.41865688745744,234.574463
9,PPep12_p105_I,P,i,252.79591986680282,237.096771
10,PPep12_p105_I,P,i,253.06312530915798,239.67392
11,PPep12_p105_I,P,i,253.26381681335417,242.307693
12,PPep12_p105_I,P,i,253.43153793182097,246.368713
13,PPep12_p105_I,P,i,253.58156882548508,249.152542
14,PPep12_p105_I,P,i,253.70905821440536,250.568176
15,PPep12_p105_I,P,i,253.7794950829461,252.0
16,PPep12_p105_I,P,i,253.7269670682948,252.0
17,PPep12_p105_I,P,i,253.45992324579464,253.448273
18,PPep12_p105_I,P,i,252.90750585015695,252.0
19,PPep12_p105_I,P,i,252.11180350732818,253.448273
20,PPep12_p105_I,P,i,251.24889251957063,253.448273
21,PPep12_p105_I,P,i,250.54395240849516,254.9133
22,PPep12_p105_I,P,i,250.08639706948966,253.448273
23,PPep12_p105_I,P,i,249.84515748205447,257.894745
24,PPep12_p105_I,P,i,249.73788527883255,254.9133
25,PPep12_p105_I,P,i,249.69728352886816,253.448273
26,PPep12_p105_I,P,i,249.67760826765902,252.0
27,PPep12_p105_I,P,i,249.6554625349642,252.0
28,PPep12_p105_I,P,i,249.60675229230364,253.448273
29,PPep12_p105_I,P,i,249.4791735250183,252.0
30,PPep12_p105_I,P,i,249.15009307280545,250.568176
31,PPep12_p105_I,P,i,248.5589052307193,249.152542
32,PPep12_p105_I,P,i,248.01460546748376,247.752808
33,PPep12_p105_I,P,i,256.0409336467073,253.448273
34,PPep12_p105_I,P,i,258.04922677279654,196.0
35,PPep12_p105_I,P,i,267.9484032970886,252.0
36,PPep12_p105_I,P,i,269.1120823591501,250.568176
37,PPep12_p105_I,P,i,269.5198418099658,249.152542
38,PPep12_p105_I,P,i,268.9862627449758,250.568176
39,PPep12_p105_I,P,i,267.9530102403377,249.152542
40,PPep12_p105_I,P,i,266.52839408430754,253.448273
41,PPep12_p105_I,P,i,264.4530387793577,250.568176
42,PPep12_p105_I,P,i,261.09684182154206,250.568176
43,PPep12_p105_I,P,i,257.0223475324242,256.395355
44,PPep12_p105_I,P,i,252.6380436847042,249.152542
45,PPep12_p105_I,P,i,248.30434364803162,247.752808
46,PPep12_p105_I,P,i,245.004922503415,265.662659
47,PPep12_p105_I,P,i,242.06344999491733,286.363647
48,PPep12_p105_I,P,i,239.3307392256345,273.913055
49,PPep12_p105_I,P,i,236.74668605653915,270.552155
50,PPep12_p105_I,P,i,234.17356123350322,267.272736
51,PPep12_p105_I,P,i,231.5264147215741,265.662659
52,PPep12_p105_I,P,i,228.43336043182407,260.946747
53,PPep12_p105_I,P,i,nan,257.894745
54,PPep12_p105_I,P,i,nan,254.9133
