id,speaker,label
SPPep12_g21-I,g,I
SPPep12_g26-I,g,I
SPPep12_g94-I,g,I
SPPep12_g50-N,g,N
SPPep12_g56-N,g,N
SPPep12_g65B-N,g,N
SPPep12_g83-I,g,I
SPPep12_g43-N,g,N
SPPep12_g18-I,g,I
SPPep12_g96-I,g,I
SPPep12_g68-N,g,N
SPPep12_g10-N,g,N
SPPep12_g29-N,g,N
SPPep12_g49-N,g,N
SPPep12_g95-N,g,N
SPPep12_g65-N,g,N
SPPep12_g64-I,g,I
SPPep12_g90-N,g,N
SPPep12_g27-I,g,I
SPPep12_g44-N,g,N
SPPep12_g3-N,g,N
SPPep12_g17-I,g,I
SPPep12_g24-I,g,I
SPPep12_g82-I,g,I
SPPep12_g86-N,g,N
SPPep12_g13-I,g,I
SPPep12_g5-I,g,I
SPPep12_g58-I,g,I
SPPep12_g22-N,g,N
SPPep12_g28-I,g,I
