id,speaker,label
SPPep12_y64-N,y,N
SPPep12_y69-N,y,N
SPPep12_y7-I,y,I
SPPep12_y20-N,y,N
SPPep12_y26-I,y,I
SPPep12_y62-N,y,N
SPPep12_y23-I,y,I
SPPep12_y79-I,y,I
SPPep12_y9-N,y,N
SPPep12_y48-I,y,I
SPPep12_y65-N,y,N
SPPep12_y86-N,y,N
SPPep12_y78-I,y,I
SPPep12_y34-I,y,I
SPPep12_y29-I,y,I
SPPep12_y35-I,y,I
SPPep12_y10-I,y,I
SPPep12_y4-N,y,N
SPPep12_y21-N,y,N
SPPep12_y59-N,y,N
SPPep12_y50-N,y,N
SPPep12_y66-N,y,N
SPPep12_y28-I,y,I
SPPep12_y60-I,y,I
SPPep12_y6-I,y,I
SPPep12_y17-I,y,I
SPPep12_y3-I,y,I
SPPep12_y87-N,y,N
SPPep12_y31-N,y,N
SPPep12_y80-N,y,N
